id,lon,lat
PZE_101132612,-100.8848888889,19.9917222222
PZE_101132612,-100.8496666667,19.9581944444
PZE_101132612,-100.9599166667,19.9828055556
PZE_101132612,-101.0881111111,20.0531944444
PZE_101132612,-101.3730833333,20.1607222222
PZE_101132612,-101.4341666667,20.1338055556
PZE_101132612,-101.2354166667,19.9646111111
PZE_101132612,-102.0898333333,20.7195555556
PZE_101132612,-98.8637222222,19.1397777778
PZE_101132612,-99.59,19.12
PZE_101132612,-98.9146111111,19.5025277778
PZE_101132612,-99.6270555556,19.4074722222
PZE_101132612,-99.08,19.29
PZE_102053988,-102.0684444444,20.1393888889
PZE_102053988,-98.8661388889,19.22625
PZE_102053988,-100.64,19.68
PZE_102053988,-102.37,20.17
PZE_102053988,-101.61,19.42
PZE_102053988,-99.03,18.97
PZE_102053988,-101.49,20.11
PZE_102053988,-98.1854166667,19.1594722222
PZE_102053988,-98.49,19.09
PZE_102053988,-101.64,19.42
PZE_102053988,-100.8848888889,19.9917222222
PZE_102053988,-100.8496666667,19.9581944444
PZE_102053988,-100.9599166667,19.9828055556
PZE_102053988,-101.0881111111,20.0531944444
PZE_102053988,-101.3730833333,20.1607222222
PZE_102053988,-101.4341666667,20.1338055556
PZE_102053988,-101.2354166667,19.9646111111
PZE_102053988,-102.0898333333,20.7195555556
PZE_102053988,-98.8637222222,19.1397777778
PZE_102053988,-99.59,19.12
PZE_102053988,-98.9146111111,19.5025277778
PZE_102053988,-99.6270555556,19.4074722222
PZE_102053988,-99.08,19.29
PZE_102158940,-98.4874444444,19.0838888889
PZE_102158940,-102.0684444444,20.1393888889
PZE_102158940,-98.8661388889,19.22625
PZE_102158940,-100.64,19.68
PZE_102158940,-102.37,20.17
PZE_102158940,-101.61,19.42
PZE_102158940,-99.03,18.97
PZE_102158940,-101.49,20.11
PZE_102158940,-98.1854166667,19.1594722222
PZE_102158940,-98.49,19.09
PZE_102158940,-101.64,19.42
PZE_102158940,-100.8848888889,19.9917222222
PZE_102158940,-100.8496666667,19.9581944444
PZE_102158940,-100.9599166667,19.9828055556
PZE_102158940,-101.0881111111,20.0531944444
PZE_102158940,-101.3730833333,20.1607222222
PZE_102158940,-101.4341666667,20.1338055556
PZE_102158940,-101.2354166667,19.9646111111
PZE_102158940,-102.0898333333,20.7195555556
PZE_102158940,-98.8637222222,19.1397777778
PZE_102158940,-99.59,19.12
PZE_102158940,-98.9146111111,19.5025277778
PZE_102158940,-99.6270555556,19.4074722222
PZE_102158940,-99.08,19.29
PZE_106038092,-98.4874444444,19.0838888889
PZE_106038092,-102.0684444444,20.1393888889
PZE_106038092,-98.8661388889,19.22625
PZE_106038092,-100.64,19.68
PZE_106038092,-102.37,20.17
PZE_106038092,-101.61,19.42
PZE_106038092,-99.03,18.97
PZE_106038092,-101.49,20.11
PZE_106038092,-98.1854166667,19.1594722222
PZE_106038092,-101.64,19.42
PZE_106038092,-100.8848888889,19.9917222222
PZE_106038092,-100.8496666667,19.9581944444
PZE_106038092,-100.9599166667,19.9828055556
PZE_106038092,-101.0881111111,20.0531944444
PZE_106038092,-101.3730833333,20.1607222222
PZE_106038092,-101.4341666667,20.1338055556
PZE_106038092,-101.2354166667,19.9646111111
PZE_106038092,-102.0898333333,20.7195555556
PZE_106038092,-98.8637222222,19.1397777778
PZE_106038092,-99.59,19.12
PZE_106038092,-98.9146111111,19.5025277778
PZE_106038092,-99.6270555556,19.4074722222
PZE_106038092,-99.08,19.29
PZE_109082243,-98.4874444444,19.0838888889
PZE_109082243,-102.0684444444,20.1393888889
PZE_109082243,-98.8661388889,19.22625
PZE_109082243,-100.64,19.68
PZE_109082243,-102.37,20.17
PZE_109082243,-101.61,19.42
PZE_109082243,-99.03,18.97
PZE_109082243,-101.49,20.11
PZE_109082243,-98.1854166667,19.1594722222
PZE_109082243,-101.64,19.42
PZE_109082243,-100.8848888889,19.9917222222
PZE_109082243,-100.8496666667,19.9581944444
PZE_109082243,-100.9599166667,19.9828055556
PZE_109082243,-101.0881111111,20.0531944444
PZE_109082243,-101.3730833333,20.1607222222
PZE_109082243,-101.4341666667,20.1338055556
PZE_109082243,-101.2354166667,19.9646111111
PZE_109082243,-102.0898333333,20.7195555556
PZE_109082243,-98.8637222222,19.1397777778
PZE_109082243,-99.59,19.12
